keyword,page,intent,priority,notes
"كيف استقدم عاملة منزلية","/ar/faq","informational",2,"How-to"
"تتبع حالة التاشيرة","/ar/track-order","navigational",2,"Visa status"
"رقم خدمة عملاء موطن","/ar/contact-us","navigational",2,"Contact"
"شركات توظيف العمالة المنزلية في السعودية","/ar","commercial",1,"Broad phrase"
"أسعار الاستقدام 2025 السعودية","/ar","commercial",2,"Price+year"
"خدمات التوظيف المنزلي بالرياض جدة","/ar","commercial",2,"Cities combined"
"متى تستغرق عملية الاستقدام","/ar/faq","informational",3,"Timing"
"توظيف عامل مؤقت للمناسبات","/ar/services","commercial",3,"Event hire"
"استقدام عمالة منزلية قانونية","/ar/faq","informational",2,"Legal"
"أفضل مكتب استقدام في جدة","/ar","commercial",1,"Local search"
"cvs عمالة منزلية","/ar/all-workers","commercial",2,"Alternate" 
"سير ذاتية عمالة منزلية جاهزة","/ar/all-workers","commercial",2,"Ready CVs"
"خدمات الاستقدام للقطاع الخاص","/ar/services","commercial",2,"B2B" 
"توظيف عمالة منزلية للمتقاعدين","/ar","commercial",3,"Specific audience"
"ما هي خطوات الاستقدام","/ar/faq","informational",2,"Steps"
